"course","lng","lat","Estblsh","Age_yrs","Mn_prtc","Mn_vlnt"
"hackworth",-1.647177,54.629785,"2013-03-09",6,42.1,10.3
"dewsbury",-1.647584,53.688816,"2012-06-23",6.7,93.6,12.3
"catterick",-1.649558,54.387024,"2017-06-17",1.7,175.3,19.3
"oakwellhall",-1.670635,53.740707,"2014-07-19",4.6,190.9,27.8
"bakewell",-1.675265,53.230855,"2018-01-06",1.2,182.5,12
"kingsburywater",-1.692796,52.560699,"2013-07-20",5.6,300.7,20
"stratforduponavon",-1.701442,52.185465,"2016-02-20",3.1,281.4,26.7
"marlboroughcommon",-1.732506,51.424492,"2018-09-22",0.5,142.3,22.3
"gibside",-1.7327284,54.919401,"2014-02-22",5.1,67.1,12
"brueton",-1.767576,52.408859,"2010-07-24",8.6,282.2,24.7
"bradford",-1.771803,53.812612,"2010-04-17",8.9,292.8,18.1
"hortonpark",-1.775386,53.782499,"2015-05-30",3.8,63.4,12.3
"brighouse",-1.778144,53.706075,"2016-09-03",2.5,242.8,20.3
"salisbury",-1.789945,51.061924,"2015-06-06",3.8,354.8,32.7
"huddersfield",-1.79723,53.648924,"2011-04-02",7.9,459.7,36.1
